,id,prediction
0,0,-1.7478711113333383
1,1,-2.9084498553683664
2,2,-0.9499482964807147
3,3,-6.167929430757264
4,4,-2.1600745212453245
5,5,-2.768605466927579
6,6,-7.204448887039642
7,7,-4.3882179769033565
8,8,-6.301458360435565
9,9,-3.582115860027613
10,10,-1.9310781318967292
11,11,-4.70359676677604
12,12,-1.998444953882538
13,13,-2.0732821025051305
14,14,-5.0646688895048815
15,15,-1.649154503725754
16,16,-0.9950949132098743
17,17,-3.134171740638706
18,18,-5.634060375448794
19,19,-2.664257264231782
20,20,-7.104943010076341
21,21,-2.4776385675443846
22,22,-4.603047095266091
23,23,-2.315937658896574
24,24,-3.3036140603574555
25,25,-4.470016079997649
26,26,-1.3357591834101987
27,27,-3.2974104657909504
28,28,-3.085484377706108
29,29,-3.365404815116734
30,30,-2.8195279797693362
31,31,-4.448295560499474
32,32,-3.0313075028803027
33,33,-2.381589968252031
34,34,-4.812340059399472
35,35,-2.002489516929143
36,36,-2.4975729344518074
37,37,-3.7627159011075695
38,38,-3.2687733954334646
39,39,-4.654820436864257
40,40,-4.028324431351848
41,41,-0.7182418827511587
42,42,-2.576856663596437
43,43,-1.8075241381123757
44,44,-0.8189534803729921
45,45,-2.664257264231782
46,46,-2.1199119140643816
47,47,-2.1635341690916707
48,48,-2.4031463332354166
49,49,-3.0225379655309887
50,50,-3.4276312994355447
51,51,-2.720184027110649
52,52,-6.167929430757264
53,53,-2.9368727195866797
54,54,-6.5838522868802105
55,55,-0.9989635717846315
56,56,-2.787306923511332
57,57,-4.221726748275417
58,58,-4.977164873325103
59,59,-0.41614709674116757
60,60,-6.02570899244987
61,61,-0.7157131423894456
62,62,-3.778682130789829
63,63,-0.8641495948663676
64,64,-2.924580627156633
65,65,-3.628855759331646
66,66,-4.305164536424132
67,67,-0.7420227904521299
68,68,-0.8066437704533862
69,69,-5.533981445793813
70,70,-2.7104055612664126
71,71,-4.63557861678745
72,72,-3.7515666542452544
73,73,-2.4282391621630275
74,74,-1.8527490169072889
75,75,-0.9221398752137699
76,76,-5.056851526850279
77,77,-6.048143110430612
78,78,-1.8764657913099942
79,79,-4.4809373779648585
80,80,-1.5167953344194491
81,81,-0.9877756155420245
82,82,-1.041038330718092
83,83,-2.6718201470848597
84,84,-2.4266344671804743
85,85,-2.9006663210143024
86,86,-5.273068259847934
87,87,-0.31933301253363666
88,88,-3.2238909793612063
89,89,-4.115492213620379
90,90,-3.6654407994534974
91,91,-2.6214166582685596
92,92,-6.901144481124687
93,93,-1.8269468594084357
94,94,-4.0899000667246295
95,95,-1.6209644192071744
96,96,-5.8404130454351755
97,97,-6.135200016949832
98,98,-3.17623927576208
99,99,-4.0899677950908355
100,100,-3.9975610179370418
101,101,-4.114507874038431
102,102,-0.15601027713375837
103,103,-1.567285454388566
104,104,-4.400602144248963
105,105,-0.5839910036537304
106,106,-1.348811213939642
107,107,-2.4299634042895617
108,108,-1.985547884821806
109,109,-0.5969379152756069
110,110,-3.211950151925037
111,111,-4.459789924941845
112,112,-2.8772929562896303
113,113,-1.265541362441586
114,114,-5.521502826094141
115,115,-1.706968642265294
116,116,-1.473013080740881
117,117,-4.230071821086812
118,118,-4.739545234170659
119,119,-6.224290997576181
120,120,-2.296114659341879
121,121,-2.828870238541526
122,122,-6.765758926041464
123,123,-1.6726497772309425
124,124,-4.605478420440838
125,125,-1.1999809959572367
126,126,-3.8917149124217847
