,id,prediction
0,0,-2.9429387707852435
1,1,-3.9642039922848626
2,2,-2.091291229326791
3,3,-4.240878692569214
4,4,-2.6322300865181854
5,5,-2.711462611883231
6,6,-5.166650289927071
7,7,-4.639805547786393
8,8,-4.151256557980037
9,9,-3.080883585267442
10,10,-3.4234672001975905
11,11,-4.5566929754234
12,12,-2.711462611883231
13,13,-2.6322300865181854
14,14,-4.698192393900516
15,15,-2.54401561509342
16,16,-2.091291229326791
17,17,-4.132619200569803
18,18,-3.83913725926206
19,19,-4.41522459678967
20,20,-5.900333245595296
21,21,-2.54401561509342
22,22,-2.54401561509342
23,23,-2.577195177693291
24,24,-3.6573732738805775
25,25,-4.5566929754234
26,26,-2.54401561509342
27,27,-4.143681095096837
28,28,-3.700081104362333
29,29,-3.953299943357706
30,30,-3.4234672001975905
31,31,-3.990203876284396
32,32,-3.080883585267442
33,33,-2.479330026470125
34,34,-3.4234672001975905
35,35,-4.240878692569214
36,36,-3.4234672001975905
37,37,-4.132619200569803
38,38,-2.2040600898611293
39,39,-4.698192393900516
40,40,-4.240878692569214
41,41,-3.322850639301959
42,42,-3.6573732738805775
43,43,-2.577195177693291
44,44,-2.2909803048370216
45,45,-4.41522459678967
46,46,-2.6322300865181854
47,47,-2.9429387707852435
48,48,-2.54401561509342
49,49,-4.049615383148193
50,50,-4.698192393900516
51,51,-2.835833317703671
52,52,-4.240878692569214
53,53,-3.6573732738805775
54,54,-5.900333245595296
55,55,-2.711462611883231
56,56,-2.54401561509342
57,57,-3.6573732738805775
58,58,-4.226877882458231
59,59,-2.091291229326791
60,60,-5.539275537948219
61,61,-2.2040600898611293
62,62,-4.076999982198079
63,63,-2.711462611883231
64,64,-1.9474575839563246
65,65,-3.796655166251906
66,66,-4.143681095096837
67,67,-2.2040600898611293
68,68,-2.0172576029276983
69,69,-4.240878692569214
70,70,-4.143681095096837
71,71,-4.259478870259993
72,72,-3.7261313134736387
73,73,-3.080883585267442
74,74,-4.132619200569803
75,75,-1.9474575839563246
76,76,-4.132619200569803
77,77,-4.5566929754234
78,78,-2.711462611883231
79,79,-4.151256557980037
80,80,-1.7679654298201977
81,81,-2.6322300865181854
82,82,-2.2040600898611293
83,83,-3.4234672001975905
84,84,-3.080883585267442
85,85,-2.54401561509342
86,86,-4.435370617895387
87,87,-2.2721849305122173
88,88,-3.322850639301959
89,89,-4.132619200569803
90,90,-4.435370617895387
91,91,-3.080883585267442
92,92,-5.400530932220071
93,93,-2.7630495545638745
94,94,-4.226877882458231
95,95,-2.9429387707852435
96,96,-5.895780471842585
97,97,-4.435370617895387
98,98,-3.6573732738805775
99,99,-4.132619200569803
100,100,-2.5256254731146877
101,101,-4.264208366758087
102,102,-2.2721849305122173
103,103,-2.54401561509342
104,104,-4.217830032695413
105,105,-2.231796114190111
106,106,-2.67374225543603
107,107,-3.4234672001975905
108,108,-2.54401561509342
109,109,-2.54401561509342
110,110,-4.1074079440207605
111,111,-4.281277870138486
112,112,-4.323389739866673
113,113,-2.9429387707852435
114,114,-4.435370617895387
115,115,-2.711462611883231
116,116,-3.080883585267442
117,117,-3.9642039922848626
118,118,-4.726060511962091
119,119,-4.698192393900516
120,120,-2.5256254731146877
121,121,-2.2909803048370216
122,122,-6.358082874431095
123,123,-3.2879155776863405
124,124,-4.698192393900516
125,125,-1.9474575839563246
126,126,-4.498221595741568
127,127,-5.985427177354191
128,128,-2.091291229326791
129,129,-4.698192393900516
130,130,-2.479330026470125
131,131,-2.54401561509342
132,132,-2.67374225543603
133,133,-2.0172576029276983
134,134,-2.9429387707852435
135,135,-3.4234672001975905
136,136,-2.9429387707852435
137,137,-3.6573732738805775
138,138,-4.151256557980037
139,139,-4.240878692569214
140,140,-2.54401561509342
141,141,-4.1074079440207605
142,142,-2.7630495545638745
143,143,-4.240878692569214
144,144,-3.7261313134736387
145,145,-2.5256254731146877
146,146,-2.2721849305122173
147,147,-2.835833317703671
148,148,-2.0172576029276983
149,149,-3.4234672001975905
150,150,-2.54401561509342
151,151,-3.2879155776863405
152,152,-4.5566929754234
153,153,-4.698192393900516
154,154,-2.711462611883231
155,155,-2.091291229326791
156,156,-3.796655166251906
157,157,-1.9474575839563246
158,158,-4.226877882458231
159,159,-4.132619200569803
160,160,-2.711462611883231
161,161,-3.83913725926206
162,162,-4.610633440187265
163,163,-3.9642039922848626
164,164,-2.54401561509342
165,165,-2.577195177693291
166,166,-4.698192393900516
167,167,-4.132619200569803
168,168,-2.2909803048370216
169,169,-4.143681095096837
170,170,-4.4933334191640215
171,171,-2.2721849305122173
172,172,-2.54401561509342
173,173,-2.54401561509342
